TF TG
788 Bhlhe40 Ddx21
789 Bhlhe40 Ddx24
790 Bhlhe40 Ddx3x
791 Bhlhe40 Denr
792 Bhlhe40 Dnaja1
793 Bhlhe40 Dnaja2
794 Bhlhe40 Dnajc2
795 Bhlhe40 Dnajc5
796 Bhlhe40 Dnajc8
797 Bhlhe40 Dnase2a
798 Bhlhe40 Dnm1l
799 Bhlhe40 Drap1
800 Bhlhe40 Dstn
801 Bhlhe40 Dync1i2
802 Bhlhe40 Edf1
803 Bhlhe40 Eef1a1
804 Bhlhe40 Ehd4
805 Bhlhe40 Eif1
806 Bhlhe40 Eif1a
807 Bhlhe40 Eif2ak2
808 Bhlhe40 Eif2s2
809 Bhlhe40 Eif3a
810 Bhlhe40 Eif3c
811 Bhlhe40 Eif3g
812 Bhlhe40 Eif4g2
813 Bhlhe40 Eif5
814 Bhlhe40 Eif5a
815 Bhlhe40 Eif5b
816 Bhlhe40 Eif6
817 Bhlhe40 Emc4
818 Bhlhe40 Emc7
819 Bhlhe40 Emp2
820 Bhlhe40 Epcam
821 Bhlhe40 Esd
822 Bhlhe40 Etf1
823 Bhlhe40 Ezr
824 Bhlhe40 F11r
825 Bhlhe40 F3
826 Bhlhe40 Fam104a
827 Bhlhe40 Fam50a
828 Bhlhe40 Fermt2
829 Bhlhe40 Fkbp1a
830 Bhlhe40 Fkbp3
831 Bhlhe40 Flna
832 Bhlhe40 Fnbp1l
833 Bhlhe40 Ftl1
834 Bhlhe40 Fubp1
835 Bhlhe40 Fus
836 Bhlhe40 Fxr1
837 Bhlhe40 G3bp2
838 Bhlhe40 Gabarap
839 Bhlhe40 Gadd45b
840 Bhlhe40 Gapdh
841 Bhlhe40 Ghitm
842 Bhlhe40 Glrx3
843 Bhlhe40 Gnas
844 Bhlhe40 Gng5
845 Bhlhe40 Golga4
846 Bhlhe40 Gpx1
847 Bhlhe40 Grb2
848 Bhlhe40 Gspt1
849 Bhlhe40 Gtf2f1
850 Bhlhe40 Gtpbp4
851 Bhlhe40 H1f0
852 Bhlhe40 H3f3b
853 Bhlhe40 Hbegf
854 Bhlhe40 H2-D1
855 Bhlhe40 H2-K1
856 Bhlhe40 Hmgn1
857 Bhlhe40 Hnrnpa2b1
858 Bhlhe40 Hnrnpab
859 Bhlhe40 Hnrnpc
860 Bhlhe40 Hnrnpu
861 Bhlhe40 Hsp90aa1
862 Bhlhe40 Hsp90ab1
863 Bhlhe40 Hspa5
864 Bhlhe40 Hspa8
865 Bhlhe40 Hspa9
866 Bhlhe40 Hspb1
867 Bhlhe40 Hspd1
868 Bhlhe40 Icam1
869 Bhlhe40 Ier3
870 Bhlhe40 Ik
871 Bhlhe40 Itgb1
872 Bhlhe40 Iws1
873 Bhlhe40 Jun
874 Bhlhe40 Jund
875 Bhlhe40 Kif5b
876 Bhlhe40 Klf6
877 Bhlhe40 Kras
878 Bhlhe40 Krt18
879 Bhlhe40 Krt19
880 Bhlhe40 Krt8
881 Bhlhe40 Lamb3
882 Bhlhe40 Lamp1
883 Bhlhe40 Laptm4a
884 Bhlhe40 Las1l
885 Bhlhe40 Leo1
886 Bhlhe40 Lgals3
887 Bhlhe40 Lmna
888 Bhlhe40 Lpp
889 Bhlhe40 Lrrc58
890 Bhlhe40 Lrrfip2
891 Bhlhe40 Lsr
892 Bhlhe40 M6pr
893 Bhlhe40 Mal
894 Bhlhe40 Map1lc3b
895 Bhlhe40 Mdh2
896 Bhlhe40 Mdm2
897 Bhlhe40 Mea1
898 Bhlhe40 Metap2
899 Bhlhe40 Mfge8
900 Bhlhe40 Mif
901 Bhlhe40 Morf4l1
902 Bhlhe40 Mrps21
903 Bhlhe40 Msn
904 Bhlhe40 Mtdh
905 Bhlhe40 Myl12b
906 Bhlhe40 Myl12a
907 Bhlhe40 Myl6
908 Bhlhe40 Naa15
909 Bhlhe40 Nars
910 Bhlhe40 Ncl
911 Bhlhe40 Ndufa4
912 Bhlhe40 Ndufa5
913 Bhlhe40 Ndufb6
914 Bhlhe40 Nfkbia
915 Bhlhe40 Nme1
916 Bhlhe40 Nop56
917 Bhlhe40 Nop58
918 Bhlhe40 Npm1
919 Bhlhe40 Nptn
920 Bhlhe40 Nupr1
921 Bhlhe40 Ociad1
922 Bhlhe40 Otud7b
923 Bhlhe40 Pabpc1
924 Bhlhe40 Pafah1b1
925 Bhlhe40 Mpp5
926 Bhlhe40 Pam
927 Bhlhe40 Pdap1
928 Bhlhe40 Pdcd10
929 Bhlhe40 Pdcd5
930 Bhlhe40 Pdgfa
931 Bhlhe40 Pdia3
932 Bhlhe40 Pdlim1
933 Bhlhe40 Pfn1
934 Bhlhe40 Phlda1
935 Bhlhe40 Picalm
936 Bhlhe40 Pkm
937 Bhlhe40 Plin2
938 Bhlhe40 Pls3
939 Bhlhe40 Pmepa1
940 Bhlhe40 Pnn
941 Bhlhe40 Pnrc1
942 Bhlhe40 Pomp
943 Bhlhe40 Ppia
944 Bhlhe40 Ppp1r15a
945 Bhlhe40 Ppp2r2a
946 Bhlhe40 Prdx1
947 Bhlhe40 Prpf40a
948 Bhlhe40 Psma2
949 Bhlhe40 Psma5
950 Bhlhe40 Psma6
951 Bhlhe40 Psma7
952 Bhlhe40 Psmb1
953 Bhlhe40 Psmb2
954 Bhlhe40 Psmb3
955 Bhlhe40 Psmb6
956 Bhlhe40 Psmc1
957 Bhlhe40 Psmc3
958 Bhlhe40 Psmc4
959 Bhlhe40 Psmc5
960 Bhlhe40 Psmd11
961 Bhlhe40 Psmd12
962 Bhlhe40 Psmd4
963 Bhlhe40 Psmd7
964 Bhlhe40 Psmd8
965 Bhlhe40 Psme2
966 Bhlhe40 Ptp4a2
967 Bhlhe40 Ptpn11
