Receptor TF PPR
3254 Sdc4 Syncrip 0.000953938798461822
3375 Sdc4 Cdc42 0.000953456147017429
1541 Cldn3 Sf1 0.000952659452096549
926 Cdh1 Ncl 0.000949481298931119
1782 Cldn3 Snrnp70 0.000948457224680947
2554 Sdc1 Npm1 0.000947951268175166
2639 Sdc1 Matr3 0.000947232423747309
1124 Ceacam1 Safb 0.000946852256367939
1175 Ceacam1 Matr3 0.000946562473696973
1421 Ceacam1 Hspa4 0.000946405036282149
1177 Ceacam1 Fus 0.000945027781428406
2363 F11r Sptbn1 0.00094491015364165
1779 Cldn3 Hnrnpc 0.000944555527808503
883 Cdh1 Prdx2 0.000944492598788942
200 Cd44 Matr3 0.000942752661759085
2643 Sdc1 Rbm39 0.000942280790824474
2517 Sdc1 Sf1 0.000941352422274769
287 Cd44 Ddx21 0.000939985155584358
2340 F11r Anxa2 0.000939580736942741
473 Cd44 Igbp1 0.000938925585821744
2110 F11r Hnrnpd 0.00093792018694294
1905 Cldn3 Ahsa1 0.00093703752637171
2605 Sdc1 Fmr1 0.00093540930354131
2655 Sdc1 Nono 0.000934280148366637
952 Cdh1 Pkm 0.000933637344082652
1319 Ceacam1 Ubb 0.00093121290706792
774 Cdh1 Ddx21 0.000929324643132141
549 Cdh1 Chd4 0.000929214611004811
1371 Ceacam1 Prdx2 0.000928619114865906
1525 Cldn3 Chd4 0.00092764869032924
340 Cd44 Stk11 0.0009268589716691
1262 Ceacam1 Ddx21 0.000926659791234508
2850 Sdc1 Sptbn1 0.000926323526232474
507 Cdh1 Jund 0.000925939119516468
803 Cdh1 Hnrnpc 0.0009257234885918
2397 F11r Hspa4 0.000924251345326463
134 Cd44 Mapk1 0.000923660361397288
602 Cdh1 Npm1 0.000922897050029519
647 Cdh1 Hmgb2 0.000922451006160788
306 Cd44 Top1 0.000922436925714792
1090 Ceacam1 Npm1 0.000921027507935394
2660 Sdc1 Snrpd1 0.0009203081919099
722 Cdh1 Rai14 0.000919704002956452
891 Cdh1 Actr1a 0.000917584234660342
1278 Ceacam1 Rbm34 0.00091642945321585
1750 Cldn3 Ddx21 0.000916249654048969
3244 Sdc4 Usp7 0.00091594000462118
839 Cdh1 Tmod3 0.000914849651607919
3310 Sdc4 Cd44 0.000913198651442898
73 Cd44 Smarca2 0.000912657115772007
3351 Sdc4 Tjp2 0.00091233256557725
2988 Sdc4 Chd4 0.000911647608603663
951 Cdh1 H3f3b 0.000910774747454703
878 Cdh1 Rhoa 0.000906427671552628
2646 Sdc1 Btf3 0.000903160595112548
1230 Ceacam1 Hspb1 0.000903146456016609
345 Cd44 Irak1 0.000902864812955385
382 Cd44 Cd9 0.00090231271528856
2589 Sdc1 Srsf3 0.000901887829676376
2654 Sdc1 Cnbp 0.000901856471556985
1056 Ceacam1 Ewsr1 0.000901485669756715
742 Cdh1 Hspb1 0.000901248109848093
3232 Sdc4 Top1 0.000900577994225094
216 Cd44 Nono 0.000900366436875403
1612 Cldn3 Safb 0.00089939732766053
2760 Sdc1 Smc4 0.000897472561114813
1601 Cldn3 Hexim1 0.000896180776700244
2238 F11r Ddx21 0.000895485205636533
406 Cd44 Map2k3 0.000894597729617293
2877 Sdc1 Ncl 0.000894087865811785
1769 Cldn3 Top1 0.000893970426723582
3147 Sdc4 Snrpd1 0.000893339099862888
3206 Sdc4 Csnk2a1 0.000893308992002366
1393 Ceacam1 Cyld 0.000893036089695769
1912 Cldn3 Cdc42 0.000892884072649988
1424 Ceacam1 Cdc42 0.000892813633746757
307 Cd44 Bmpr1a 0.000891887040368365
2029 F11r Sf1 0.000891478176298716
1578 Cldn3 Npm1 0.000890530835464253
950 Cdh1 H3f3a 0.000889905426748232
3181 Sdc4 Hspb1 0.000889230905251623
1678 Cldn3 Cnbp 0.000889174797716513
2270 F11r Snrnp70 0.000887278391452522
1268 Ceacam1 Srsf7 0.000885142369543322
1291 Ceacam1 Hnrnpc 0.000884616250572807
151 Cd44 Ssrp1 0.000883824184530905
1663 Cldn3 Matr3 0.000883284188093725
3077 Sdc4 Ssrp1 0.000882934778326904
1037 Ceacam1 Chd4 0.000881185597002472
2880 Sdc1 Ahsa1 0.000880829189216005
793 Cdh1 Top1 0.000878934685721813
62 Cd44 Chd4 0.000878687864224859
2267 F11r Hnrnpc 0.00087749078138049
1196 Ceacam1 Snrpd1 0.000877270903697657
702 Cdh1 Cnbp 0.000875609772697422
3064 Sdc4 Hexim1 0.000875540001383727
1871 Cldn3 Rac1 0.000874190487463335
1597 Cldn3 Mapk1 0.000872952130009044
204 Cd44 Rbm39 0.000872936907346865
2359 F11r Rac1 0.000872787508382354
166 Cd44 Fmr1 0.000872699506429197
3380 Sdc4 Ldha 0.000869662736119305
221 Cd44 Snrpd1 0.000869402732571634
2695 Sdc1 Pcbp2 0.000869070455392678
1614 Cldn3 Ssrp1 0.000868102361508879
115 Cd44 Npm1 0.000866905079380774
1684 Cldn3 Snrpd1 0.00086680510593633
3383 Sdc4 Eif2s1 0.000865358105673752
408 Cd44 Bsg 0.000863324384976689
1113 Ceacam1 Hexim1 0.00086313546676233
687 Cdh1 Matr3 0.000862816887637973
1417 Ceacam1 Ahsa1 0.000860850332119341
625 Cdh1 Hexim1 0.000860378804972591
2846 Sdc1 Rac1 0.000860039469130654
1137 Ceacam1 Ybx1 0.000858636600061054
1281 Ceacam1 Top1 0.000857189659317451
638 Cdh1 Ssrp1 0.00085716139653829
691 Cdh1 Rbm39 0.000856070056228328
2732 Sdc1 Srsf7 0.00085542840402728
441 Cd44 Ahsa1 0.000853459234596098
2100 F11r Safb 0.000853242116705235
679 Cdh1 Polr2e 0.00085227054459659
3373 Sdc4 Psmc6 0.000851584904132017
3394 Sdc4 Tes 0.000850598510840844
1414 Ceacam1 Ncl 0.000850469400549945
1190 Ceacam1 Cnbp 0.000849264138515003
10 Cd44 Egr1 0.000848279229362263
2206 F11r Hspb1 0.000847857640155292
